,user_embed
51,"-0.14012603,-0.058226906,-0.12692843,-0.30025098,0.18556125,0.089427285,0.14373347,-0.27527416,0.059461165,-0.32621744,0.025463745,0.14246276,-0.084036626,0.18294004,0.12102294,0.1092954,-0.21190555,-0.061225194,-0.08174717,0.09850865,0.07233254,-0.2384129,0.062051848,0.26898295,-0.15915324,0.27975997,0.06252819,0.16409731,-0.065041766,-0.17878895"
52,"-0.036000665,0.24080516,-0.43932652,-0.024097491,0.40161946,-0.2744759,0.47543263,-0.09586701,-0.1282456,0.18224785,0.29832387,-0.018384371,0.014854885,0.55383044,-0.092475146,0.06026851,-0.18549877,0.09390319,-0.052559763,-0.37138504,0.38378426,0.32412657,0.21834831,-0.026110109,0.29084203,-0.21181194,0.3314836,-0.53420365,0.13154063,-0.41356248"
53,"0.29857063,0.22997552,-0.18702601,0.1694818,0.29892537,-0.081716284,0.2888327,-0.028317064,-0.3460739,0.07423376,0.32347342,0.22767195,-0.21814384,0.275441,-0.12956604,0.26477244,-0.26136884,0.18152593,-0.12264502,-0.23509513,0.23426534,0.18206717,0.17046486,0.0788886,0.20120493,-0.23936294,0.11562154,-0.24674025,0.22268261,-0.22906072"
54,"0.3038639,0.23105587,-0.18602052,0.16969512,0.2985257,-0.0806416,0.2885561,-0.029244687,-0.34578657,0.07294223,0.32376173,0.22786371,-0.22290325,0.27917042,-0.12912485,0.26668915,-0.25889963,0.18112366,-0.12252162,-0.23363504,0.23708998,0.18149306,0.17097105,0.079035096,0.20195888,-0.23950824,0.11566149,-0.24718606,0.22293103,-0.2293566"
55,"0.3024943,0.22922862,-0.18624586,0.17041656,0.29987386,-0.081099175,0.28864673,-0.027878325,-0.3477192,0.07303322,0.3226145,0.22820131,-0.217833,0.27692673,-0.12950131,0.26523644,-0.25667816,0.1812193,-0.122400954,-0.23213679,0.2350726,0.18211953,0.17105877,0.078204826,0.2013899,-0.23901005,0.11569673,-0.2476715,0.22276068,-0.2286581"
56,"0.17523198,0.39694077,-0.31695116,0.21930097,-0.028949602,0.33017766,0.4888148,0.11222406,-0.10222144,0.3485544,0.27943265,0.3811851,-0.2834559,0.31469417,0.060285635,0.5827313,-0.42032543,-0.08431809,0.110586554,-0.41250238,0.030419199,0.4712881,0.45902833,-0.120556846,-0.022124104,-0.12490362,0.31684613,-0.0426764,0.58815956,-0.08927012"
57,"0.30095887,0.23002943,-0.18687832,0.17013653,0.29889825,-0.08112008,0.28903008,-0.028533513,-0.3464865,0.07296537,0.32209945,0.22763874,-0.21791627,0.27398798,-0.12934807,0.26541245,-0.26403612,0.18154667,-0.12244371,-0.23233205,0.23645115,0.1823208,0.1705043,0.07896013,0.20148286,-0.2391628,0.11589758,-0.24666907,0.2225357,-0.22938825"
58,"0.29900822,0.23001495,-0.1864739,0.17214252,0.30071875,-0.08142995,0.2885544,-0.02837504,-0.34597024,0.07464255,0.3222656,0.2279745,-0.22019263,0.27778912,-0.12906057,0.26494956,-0.2594453,0.18080676,-0.12275203,-0.23203807,0.23717141,0.18247847,0.17036751,0.078994304,0.20180517,-0.23854393,0.11568872,-0.24665771,0.2227357,-0.22924402"
59,"0.29930136,0.2295404,-0.18672544,0.16985075,0.29962978,-0.081288196,0.288965,-0.027922086,-0.34700906,0.0733543,0.32422957,0.22824706,-0.2186461,0.27870205,-0.12957631,0.26481682,-0.25740823,0.18053393,-0.12312677,-0.23499115,0.2360128,0.1834688,0.17066504,0.078961514,0.20145948,-0.23857066,0.11554395,-0.24586901,0.22307138,-0.22935778"
60,"0.29882935,0.22970042,-0.1870422,0.16992351,0.30118197,-0.080862425,0.28892288,-0.028670551,-0.34845224,0.07306595,0.32219672,0.22765483,-0.21838647,0.27522108,-0.12899637,0.26540324,-0.26324987,0.18132237,-0.12213276,-0.23209585,0.23538648,0.18247409,0.1702238,0.07843603,0.202441,-0.24053748,0.11600674,-0.24639751,0.22196817,-0.22964431"
61,"0.18719621,0.13817607,-0.38328633,0.38165683,0.13469686,-0.2614998,0.12548496,-0.14585203,-0.13018978,0.249213,0.15603347,0.1854514,-0.0405275,0.3968878,-0.3325124,0.237971,-0.6493903,0.44993964,-0.42741972,-0.18936941,0.5362707,0.47216266,0.10835081,0.17974013,0.41388455,-0.48115295,0.1761096,0.29457185,-0.07388781,0.06054015"
62,"-4.5692195e-05,-3.7199407e-05,-0.00010644699,0.00015733183,-0.00018557458,-0.0012519925,4.043646e-06,0.00019741796,-3.0899297e-05,7.199475e-06,5.1018806e-06,-8.741578e-06,4.9637263e-05,7.323637e-05,5.484004e-05,4.203455e-05,0.00014474381,1.4226353e-05,-4.7877846e-05,3.8679584e-05,-8.801338e-05,-0.00011759027,5.807977e-05,0.0002646989,8.0842314e-05,-0.00011390416,-6.6156676e-06,-6.0078323e-06,-0.00017139506,2.6187805e-05"
63,"0.04205979,0.21698724,-0.03100234,-0.32105714,-0.1259114,0.30989543,-0.19856451,-0.19760662,0.14411287,-0.33907253,-0.15542307,0.26846302,0.0957147,0.22920832,-0.30424145,0.21192153,0.2891767,-0.2164141,-0.18798153,0.19341049,0.15720591,0.12703663,0.3713189,-0.24908282,0.2942629,-0.14727063,-0.28327408,-0.11807256,-0.09045996,0.18633246"
64,"-0.06906224,0.12654653,-0.2295107,-0.11459357,-0.28825727,0.1323241,-0.36708105,-0.31493488,0.35456765,-0.15948914,-0.3306324,0.23895094,0.29005054,0.35168025,-0.5079287,0.18680972,-0.12365467,0.05655581,-0.503589,0.23686196,0.45242822,0.41242552,0.30687454,-0.14692119,0.49956444,-0.38551334,-0.2233363,0.42686352,-0.38797033,0.47477484"
65,"0.042009786,0.21729772,-0.030788956,-0.32105327,-0.12530597,0.31039074,-0.1984882,-0.1969976,0.14470173,-0.3371475,-0.15466695,0.26890823,0.09569834,0.22981764,-0.30425286,0.21199684,0.2877336,-0.2158306,-0.1879374,0.19378649,0.15597865,0.12773633,0.37087235,-0.24908571,0.29510587,-0.14757495,-0.2826365,-0.120750785,-0.09141297,0.18657452"
66,"0.06418719,0.27492976,-0.021149915,-0.4211715,-0.153969,0.40748867,-0.22991036,-0.24095106,0.16929932,-0.43686798,-0.17292614,0.34657508,0.088411376,0.28184533,-0.32698002,0.27238974,0.40905663,-0.29551333,-0.21391849,0.24847145,0.18608706,0.14888212,0.50117636,-0.30176035,0.35931495,-0.16218992,-0.3724425,-0.21132523,-0.0731701,0.21503204"
67,"0.042201076,0.21835986,-0.03112526,-0.32106325,-0.12643915,0.30866104,-0.19896646,-0.19695145,0.14368087,-0.338135,-0.15526786,0.26925105,0.09588681,0.2286244,-0.30351648,0.2121044,0.2893297,-0.21540622,-0.18792781,0.19361724,0.15663092,0.12749973,0.37142462,-0.24885854,0.29486075,-0.14712036,-0.2876902,-0.12134462,-0.08908664,0.18664604"
68,"0.04233269,0.21769916,-0.03100432,-0.32102895,-0.12027101,0.31319806,-0.19856726,-0.1976883,0.14488967,-0.33847308,-0.15510005,0.26566356,0.0957282,0.22904207,-0.30473712,0.21235871,0.2883463,-0.21619089,-0.1879671,0.19351082,0.1579199,0.12729166,0.37098682,-0.24938661,0.29519138,-0.1473645,-0.28543675,-0.11945294,-0.08947288,0.1871222"
