,words
126,"-2.399407386779785,0.5948396325111389,-0.40556836128234863,0.5330610871315002,0.4243350028991699,1.4403557777404785,0.34430229663848877,-0.2101166844367981,0.535904586315155,-0.8577061891555786"
127,"-0.05317535623908043,0.1862432062625885,0.03293800354003906,0.6844832301139832,0.9925706386566162,-0.06795220822095871,0.9284183979034424,-0.4723294973373413,0.4542410969734192,-2.6854379177093506"
128,"-1.5648298263549805,-0.6836459040641785,-1.335303544998169,0.8910239934921265,-0.39998525381088257,0.8745598793029785,1.3651169538497925,-0.36181527376174927,1.2592037916183472,-0.044324640184640884"
129,"-0.07697076350450516,-1.0984622240066528,-1.3527926206588745,-0.0310710147023201,0.08809401094913483,0.4460080862045288,2.3254811763763428,0.5935012102127075,0.09629873931407928,-0.9900863766670227"
130,"-0.5768342614173889,0.5309867858886719,-2.397825241088867,0.2086658477783203,0.7286194562911987,0.7970798015594482,0.5572340488433838,-0.5283297300338745,1.2359586954116821,-0.5555558204650879"
131,"-2.1448230743408203,0.5975931286811829,-0.42830002307891846,0.35861682891845703,1.5192831754684448,0.18750274181365967,0.1705988645553589,0.3418540358543396,0.713655948638916,-1.3159818649291992"
132,"0.5587944984436035,-0.845992386341095,-0.5311318039894104,1.3715699911117554,1.849368929862976,-0.3366753160953522,0.08487965166568756,-0.8021316528320312,0.2516877055168152,-1.6003698110580444"
133,"-0.9044129252433777,0.24850796163082123,-1.6697211265563965,0.37397581338882446,-1.0836328268051147,0.7013804316520691,0.8608959913253784,0.27620357275009155,1.8216304779052734,-0.6248272061347961"
134,"-0.3527224361896515,1.513417363166809,-1.1090399026870728,-0.8280733823776245,0.5139245986938477,0.41647961735725403,1.114351749420166,-1.6596007347106934,0.9569509625434875,-0.5656872987747192"
135,"0.6956280469894409,-1.4429877996444702,-1.170514702796936,-0.9872547388076782,1.3435736894607544,0.4302498400211334,-0.43536701798439026,0.36695900559425354,1.6134852170944214,-0.41377174854278564"
136,"-1.8175889253616333,-0.18019956350326538,-1.0365034341812134,0.9253528118133545,0.4750950038433075,-0.47365444898605347,1.228435754776001,0.30979999899864197,1.4062539339065552,-0.8369911313056946"
137,"-0.35152667760849,-0.09870889782905579,-0.8105937242507935,-0.2671215534210205,-0.23089948296546936,1.0075657367706299,-0.2423759400844574,-1.3309409618377686,2.4922738075256348,-0.16767215728759766"
138,"-0.4507245719432831,0.3364114463329315,-1.8527954816818237,0.5416662693023682,0.32869860529899597,0.9834321737289429,0.6375004053115845,-1.8464916944503784,0.35137853026390076,0.9709244966506958"
139,"-2.193624258041382,-0.188215434551239,-0.6055930852890015,-0.4678727090358734,1.9804956912994385,0.6700629591941833,0.34011438488960266,0.08332808315753937,0.20054009556770325,0.1807643473148346"
140,"0.11619839072227478,-0.15500596165657043,-1.6940577030181885,-0.9897943735122681,2.0913262367248535,0.29257720708847046,0.10922256112098694,-0.0001236051321029663,1.0135279893875122,-0.7838709950447083"
141,"0.6724897027015686,-0.7269109487533569,-0.37139493227005005,-0.5554477572441101,0.964841902256012,0.7843300700187683,-1.169143795967102,-0.34572988748550415,1.9954149723052979,-1.2484488487243652"
