,words
53,"1.1039526462554932,0.20360657572746277,-1.9040757417678833,-0.5426334142684937,-1.5874390602111816,0.1567053496837616,0.2608334720134735,1.0662639141082764,-0.407987117767334,-0.2711687684059143,1.016544222831726,-0.22280973196029663,-2.157099962234497,0.7196909189224243,-1.1573388576507568,0.6199866533279419,1.0094623565673828,1.1739261150360107,0.5871213674545288,0.33245956897735596"
54,"1.01524817943573,-1.1193145513534546,-0.5689162015914917,-1.4028122425079346,-2.0263352394104004,0.8058309555053711,0.041817035526037216,0.7744379043579102,-0.8260492086410522,0.17978213727474213,2.1482229232788086,0.3201703429222107,-0.8666154742240906,0.48573121428489685,0.7481892704963684,-0.6426124572753906,0.1290290504693985,-0.30045515298843384,1.542015552520752,-0.43736371397972107"
55,"0.2978335916996002,0.592578649520874,-1.1255017518997192,-0.8278727531433105,-1.1453750133514404,0.3472647964954376,1.0519633293151855,0.43754062056541443,0.649517834186554,-1.6504132747650146,2.120265483856201,-0.017349980771541595,-1.3360518217086792,1.0338537693023682,-0.504939079284668,-0.26636752486228943,-0.27694183588027954,-0.12613826990127563,1.7304494380950928,-0.9843162894248962"
56,"0.3507326543331146,0.06336697936058044,-1.8500326871871948,-0.5572500824928284,-1.8864803314208984,-0.8171356916427612,0.5735535621643066,0.16475948691368103,-0.26431286334991455,0.6563495993614197,1.6294140815734863,0.322365403175354,-0.5031347274780273,1.1289079189300537,-1.8136909008026123,0.9695218801498413,0.2825797200202942,0.4298268258571625,1.4680423736572266,-0.34738320112228394"
57,"1.0866996049880981,-0.4640142321586609,-1.2839839458465576,-0.3321863114833832,-1.5454013347625732,0.10463710874319077,0.8010552525520325,0.6707718372344971,-0.4297943115234375,-0.44241413474082947,1.2305407524108887,0.007988762110471725,-1.122496247291565,1.7173224687576294,-1.1246932744979858,-0.25507181882858276,-0.13624919950962067,0.03299684822559357,2.2911221981048584,-0.8068304061889648"
58,"0.6811556220054626,0.005052551627159119,-1.0417948961257935,-0.8919585943222046,-0.6141509413719177,0.5222315192222595,2.320953130722046,1.5610325336456299,-0.9554163813591003,-0.8092364072799683,1.609764814376831,-0.3256574869155884,-1.430580735206604,0.6989426612854004,-0.5299243330955505,-0.33741360902786255,-0.7725052833557129,0.7157521843910217,0.4273219108581543,-0.8335686922073364"
59,"1.3263225555419922,-0.12188738584518433,-0.9525104761123657,-0.8889648914337158,-1.8422691822052002,-0.2778858542442322,0.31945735216140747,0.007969968020915985,0.5175434350967407,-0.4683597981929779,0.7418662309646606,0.3254042863845825,-1.0250624418258667,0.9336128830909729,-2.461495876312256,0.5605455636978149,0.18849395215511322,1.154664158821106,1.3139692544937134,0.6485866904258728"
60,"0.4566603899002075,-1.1070027351379395,-2.0902066230773926,-0.09761200845241547,-1.5945602655410767,0.15991665422916412,0.48528364300727844,1.2753350734710693,-1.1411211490631104,-0.782397985458374,1.2317562103271484,0.48085495829582214,-0.7315309047698975,0.9695197343826294,-1.0549830198287964,1.0759940147399902,0.26464033126831055,0.4804059565067291,1.39345121383667,0.32559651136398315"
61,"0.37848344445228577,-0.46008363366127014,-1.0399631261825562,-2.8497862815856934,-0.34356337785720825,0.7516971230506897,1.2466343641281128,0.7044035196304321,0.06091592460870743,-0.41238653659820557,1.496062159538269,-1.1745407581329346,-0.7810986042022705,0.6417483687400818,-0.5959457755088806,-0.2730584740638733,0.4555821418762207,0.8465315699577332,1.2364635467529297,0.11190396547317505"
62,"-0.06230146065354347,-0.005156339146196842,-0.9126768112182617,-2.251147747039795,-1.6755280494689941,0.2382896989583969,0.7611055970191956,0.7092742919921875,-0.31260088086128235,0.7072603106498718,2.3094050884246826,-0.5033360123634338,-0.6884909272193909,1.3631675243377686,0.27920082211494446,-0.4306747317314148,-0.20063424110412598,-0.14663641154766083,1.10689115524292,-0.28541120886802673"
