,user_embed
119,"0.5046394047662973,0.7761732791235351,0.6713988537306755,0.560285444197321,1.0016557282687208,0.7721258754000007,0.8493230810210778,0.47163948220090735,0.5213072286546908,0.6108608916386605"
120,"0.8733654395605527,0.5044360629660594,0.6344596950072964,0.8948846776016323,0.723728487931663,0.5964651059804621,0.7004206709849288,0.3051040719814461,0.5732022498834345,0.9320102960311005"
121,"0.8855445124164166,0.5069591045691768,0.6261507375929242,0.9107979394389758,0.7175930445540867,0.5948135158875758,0.6896375456815794,0.3030386427086558,0.5566465499674033,0.9333636062855237"
122,"0.5389083072820315,0.5080768277732364,0.8862252666909689,0.8571349974904473,0.5102375743226736,0.86411728926673,0.4711022693784269,0.696714848384896,0.9630614129341075,0.3993524732963299"
123,"0.5110451780010117,1.2102541502856297,0.43483161764578565,1.0031250492282844,0.7536029533523801,0.6073853014891959,0.8877591033092224,0.5093776041476399,0.10473030348676717,0.18274312888744107"
124,"0.3958656182869813,0.8020778942172736,0.3216594811507168,0.6012740040428862,0.45570538942058636,0.7033863011641792,1.0424823398417922,0.6977865166433858,0.8470219649839533,0.8194053130383703"
125,"0.3960289601378759,0.8024609825280861,0.3217241506433405,0.6010053038448784,0.45532264715091203,0.7029610613154944,1.042363732095489,0.6981515612592987,0.8469110138247766,0.819655427330261"
126,"0.39611658299733477,0.8026587879106598,0.3221127164115232,0.6009441502130455,0.45549412412196993,0.7032016838166245,1.0422055978334093,0.6983134275502425,0.8466848070323885,0.8193069234530511"
127,"0.3957444981737467,0.8021652021981465,0.32197696328908537,0.6009395314283246,0.4555336332411512,0.7034488666974477,1.0421565951476548,0.697664566213804,0.8472357869440594,0.8198379980702521"
128,"0.3956942890197881,0.8023011379271824,0.3219096007826774,0.6012452059109823,0.4559105583649004,0.7032318711673105,1.0426299430299821,0.6978955507226506,0.8468878927225845,0.8190688089046482"
129,"0.395628861970835,0.8022068450954585,0.3220195632700939,0.6017660531499348,0.45564494431468905,0.7031528116199728,1.0420454389241154,0.6977055188339935,0.8472477091788897,0.8195163378398826"
130,"0.7983718446024161,0.6983568655506327,0.478457808609749,0.7812249289135504,0.4075113122338905,0.7388957796022733,1.0011051309320582,0.7146785811989629,0.7242217310590289,0.35669475950361357"
131,"0.7985039616174135,0.6972164729157837,0.4865338147529992,0.7808996665803446,0.41515418059113013,0.7399062607936527,1.0029230032738148,0.7087013158172156,0.7157348267946684,0.3604723992294667"
132,"0.17930145676202255,1.085925287395395,0.5032983371459169,0.32054576788305233,0.24617588006754815,0.6702947580510344,0.7040098076194147,0.7326482542619658,1.2777738111404864,0.40933144316563197"
133,"0.708975506747221,0.6994606869541248,0.7484813079063843,0.7861494551742044,0.6687251258748407,0.6524999441042747,0.7046472193064999,0.6995469225933904,0.630555873125773,0.6229625183645588"
134,"0.36658349702811505,0.6594810900649704,0.37075641012268346,1.1745136321876548,0.5872578822810441,0.7825718464762635,0.7904772190049403,0.49327330774893846,0.8672522823542322,0.25723356239704837"
135,"0.3666850722458341,0.6595913317445153,0.3707386153825809,1.1743821532971908,0.5878291115909026,0.7826606784613352,0.790684363512517,0.49357276108428155,0.8664357170775336,0.25739769012248154"
136,"0.5405785295224643,0.6726532364853216,0.6771839607247032,0.5628927568022276,0.7064857986437191,0.8969101429940907,0.630298909230787,0.760682595279115,0.6728066897554169,0.7446235634358467"
137,"0.46949484518956236,1.189523528297418,0.6899589148150798,1.026601128832142,0.34653675835206016,0.78110723662694,0.6047634187783366,0.23169629427670704,0.34078600133914444,0.623604158192563"
138,"0.46986153887463766,1.1893394313893413,0.6896300294836313,1.0267414073554446,0.34634673222452034,0.7812860838095853,0.6041687931586588,0.23165264843179956,0.3409211956976852,0.6242118842993503"
139,"0.8290353042477079,0.715744678131,0.5834373401312825,0.8123146303553334,0.6121652844784911,0.7139172259194102,0.6331279355308236,0.7385072435189749,0.6585623292332796,0.6102043353825264"
140,"0.8289102506234943,0.7161951545834034,0.583575824706223,0.8119470444006684,0.6123402425122303,0.7148078191802144,0.6330511518139984,0.7377929541287477,0.6588437807593172,0.6098275166775102"
141,"0.82886520910644,0.7159418915053555,0.583548657879645,0.8119969566937436,0.6122923115379515,0.7140420184610312,0.6333151157520662,0.7385592108795764,0.6586745685641293,0.6102722600915338"
142,"0.8288599910176905,0.7157563217894319,0.5837701139638852,0.8122626027135473,0.6120945961484282,0.7142586400505833,0.6332498571331978,0.7385169218294731,0.658741670383306,0.6101261229210327"
143,"0.8384950513777842,0.7239033419453605,0.5796866279424292,0.8040198092972467,0.604844043608369,0.7309729520240715,0.6214983967261736,0.7361978632035638,0.6484689855389842,0.6158449465047541"
144,"0.249976827619996,0.9197982101835882,0.14733256474298675,0.871850819706479,0.6869378761589976,0.8121530180911437,0.40323241826861456,0.6560325782745089,1.0784952330603121,0.6181004754050227"
145,"0.9635335740463287,0.6910847802988789,0.5763480792221211,0.5547169649427907,0.8015290557984911,0.6005515927759132,0.5613601149941961,0.7002458857497564,0.5308002544553618,0.7863341965604518"
146,"0.9635336432230412,0.6910850425805065,0.5763480322668052,0.5547173218367811,0.8015299365054893,0.6005515379974488,0.5613600147963279,0.7002463410273257,0.5308009262306024,0.7863343070326196"
147,"0.9635338102868091,0.6910848601225633,0.5763482830136077,0.5547173122382916,0.8015301397936428,0.6005518582630031,0.5613606045686093,0.7002464625489695,0.5308006806948978,0.7863348461609927"
148,"0.9635342110739836,0.6910853926117786,0.5763482601214007,0.5547173967813517,0.8015300816790172,0.6005516846179831,0.5613608162999622,0.7002464506391397,0.5308011781420366,0.7863348661141482"
149,"0.9635343597177142,0.6910849423051765,0.5763487478687039,0.5547179624740495,0.8015302092444667,0.600551682643183,0.5613608766314682,0.7002466357862539,0.5308008343537907,0.786335421256176"
